wind_speed,lower_wind_speed,upper_wind_speed,E33_power_lower,E44_power_lower,E48_power_lower,E53_power_lower,E70_power_lower,E82_power_lower,E33_power_upper,E44_power_upper,E48_power_upper,E53_power_upper,E70_power_upper,E82_power_upper,E33_power_output,E44_power_output,E48_power_output,E53_power_output,E70_power_output,E82_power_output,E33_efficiency,E44_efficiency,E48_efficiency,E53_efficiency,E70_efficiency,E82_efficiency
9.93775,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,246.6385,458.1565,545.6625,634.72875,1202.39525,1585.108,0.46828232,0.501243003,0.501627639,0.480415101,0.505208186,0.49931082
9.861,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,242.494,448.486,534.15,622.065,1176.991,1551.952,0.471247667,0.502209226,0.502599332,0.481909593,0.506171389,0.500370537
10.9585,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,291.0238,594.439,666.186,739.8915,1574.7695,1878.463,0.412084485,0.485012165,0.456734394,0.417645094,0.493458901,0.441291569
11.84925,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,315.8996,693.4175,738.09075,774.573,1853.2675,1983.4175,0.353824238,0.447528691,0.400275239,0.345845754,0.459359657,0.368568211
12.78075,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,331.71125,772.46,781.23,803.4225,2040.535,2039.0375,0.296075365,0.397288188,0.337622548,0.285869388,0.403053185,0.301948248
15.9975,15,16,335,880,810,810,2300,2050,335,905,810,810,2310,2050,335,904.9375,810,810,2309.975,2050,0.152475316,0.237334515,0.178504929,0.146967513,0.232668854,0.154801023
17.105,17,18,335,910,810,810,2310,2050,335,910,810,810,2310,2050,335,910,810,810,2310,2050,0.124734521,0.195240913,0.146028402,0.120228787,0.190340003,0.126637097
16.0225,16,17,335,905,810,810,2310,2050,335,910,810,810,2310,2050,335,905.1125,810,810,2310,2050,0.151762705,0.236270986,0.177670665,0.146280643,0.231583955,0.154077542
14.41,14,15,335,850,810,810,2230,2050,335,880,810,810,2300,2050,335,862.3,810,810,2258.7,2050,0.20862385,0.309431923,0.244238783,0.201087816,0.311281949,0.211805991
12.656,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,329.84,762.48,776.24,799.68,2018.08,2032.8,0.303197081,0.403866407,0.345484184,0.293035015,0.410521879,0.310014191
14.6215,14,15,335,850,810,810,2230,2050,335,880,810,810,2300,2050,335,868.645,810,810,2273.505,2050,0.199700942,0.298376909,0.233792612,0.192487226,0.299921401,0.202746981
13.112,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,796.72,792.24,810,2096.8,2050,0.276916655,0.379487583,0.317081932,0.266913708,0.383563713,0.281140466
10.64425,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,277.5739,552.3295,629.733,708.78075,1459.43975,1791.1015,0.428888618,0.491758317,0.47112137,0.436575537,0.499031891,0.459146544
12.65625,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,329.84375,762.5,776.25,799.6875,2018.125,2032.8125,0.303182561,0.403853068,0.345468162,0.293020398,0.410506706,0.309997726
13.36075,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,811.645,797.215,810,2134.1125,2050,0.261735955,0.365403142,0.301581363,0.252281374,0.3689879,0.265728214
13.32425,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,809.455,796.485,810,2128.6375,2050,0.263892824,0.36742023,0.303788153,0.254360332,0.371074165,0.267917982
12.11475,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,321.72125,719.18,754.59,783.4425,1920.655,2005.7375,0.33716887,0.434303075,0.382903404,0.327307864,0.445444212,0.348744242
12.89675,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,333.45125,781.74,785.87,806.9025,2061.415,2044.8375,0.289669386,0.391309294,0.330545628,0.279429915,0.396288908,0.294709597
10.673,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,278.8044,556.182,633.068,711.627,1469.991,1799.094,0.427318,0.491197416,0.46979932,0.434796031,0.498588751,0.457478457
11.6595,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,310.7384,672.545,723.1005,767.742,1794.445,1962.545,0.365313933,0.455596355,0.411604802,0.359805834,0.466850362,0.382786105
12.20175,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,323.02625,726.14,758.07,786.0525,1936.315,2010.0875,0.331346616,0.429193035,0.376499578,0.321423679,0.439538549,0.34207782
9.29425,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,211.8895,377.0755,449.1375,528.55125,989.39675,1307.116,0.491787491,0.504294159,0.504728488,0.489031389,0.50817671,0.503323724
11.64525,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,310.3508,670.9775,721.97475,767.229,1790.0275,1960.9775,0.366199302,0.456205147,0.412474506,0.360887004,0.467412779,0.383886184
